SN,Updated,Vtrust,Date,Time,datetime
1,87,0.87091,2024-03-12,14:49:36.332917,2024-03-12 14:49:36.332917
2,219,0.97438,2024-03-12,14:49:36.332917,2024-03-12 14:49:36.332917
4,154,0.8956,2024-03-12,14:49:36.332917,2024-03-12 14:49:36.332917
6,168,0.83203,2024-03-12,14:49:36.332917,2024-03-12 14:49:36.332917
8,67,0.98381,2024-03-12,14:49:36.332917,2024-03-12 14:49:36.332917
9,7,0.99998,2024-03-12,14:49:36.332917,2024-03-12 14:49:36.332917
11,95,0.98325,2024-03-12,14:49:36.332917,2024-03-12 14:49:36.332917
12,84,0.99641,2024-03-12,14:49:36.332917,2024-03-12 14:49:36.332917
13,23,0.81874,2024-03-12,14:49:36.332917,2024-03-12 14:49:36.332917
14,58,0.97382,2024-03-12,14:49:36.332917,2024-03-12 14:49:36.332917
15,17,0.99092,2024-03-12,14:49:36.332917,2024-03-12 14:49:36.332917
16,56,0.77624,2024-03-12,14:49:36.332917,2024-03-12 14:49:36.332917
17,29,0.96515,2024-03-12,14:49:36.332917,2024-03-12 14:49:36.332917
18,3078,0.54043,2024-03-12,14:49:36.332917,2024-03-12 14:49:36.332917
19,73,0.99236,2024-03-12,14:49:36.332917,2024-03-12 14:49:36.332917
20,2275,0.79898,2024-03-12,14:49:36.332917,2024-03-12 14:49:36.332917
21,54,0.9756,2024-03-12,14:49:36.332917,2024-03-12 14:49:36.332917
22,82,0.96562,2024-03-12,14:49:36.332917,2024-03-12 14:49:36.332917
23,196,0.93349,2024-03-12,14:49:36.332917,2024-03-12 14:49:36.332917
25,48,0.89638,2024-03-12,14:49:36.332917,2024-03-12 14:49:36.332917
26,1550,0.83386,2024-03-12,14:49:36.332917,2024-03-12 14:49:36.332917
27,5,0.92105,2024-03-12,14:49:36.332917,2024-03-12 14:49:36.332917
28,219,0.78708,2024-03-12,14:49:36.332917,2024-03-12 14:49:36.332917
29,157,0.88737,2024-03-12,14:49:36.332917,2024-03-12 14:49:36.332917
31,92,0.97821,2024-03-12,14:49:36.332917,2024-03-12 14:49:36.332917
1,89,0.87256,2024-03-14,14:56:35.860112,2024-03-14 14:56:35.860112
2,173,0.97246,2024-03-14,14:56:35.860112,2024-03-14 14:56:35.860112
4,26,0.88605,2024-03-14,14:56:35.860112,2024-03-14 14:56:35.860112
5,93,0.83929,2024-03-14,14:56:35.860112,2024-03-14 14:56:35.860112
6,177,0.56396,2024-03-14,14:56:35.860112,2024-03-14 14:56:35.860112
8,33,0.98308,2024-03-14,14:56:35.860112,2024-03-14 14:56:35.860112
9,122,0.99767,2024-03-14,14:56:35.860112,2024-03-14 14:56:35.860112
11,85,0.97809,2024-03-14,14:56:35.860112,2024-03-14 14:56:35.860112
12,148,0.99358,2024-03-14,14:56:35.860112,2024-03-14 14:56:35.860112
13,58,0.81756,2024-03-14,14:56:35.860112,2024-03-14 14:56:35.860112
14,20,0.97734,2024-03-14,14:56:35.860112,2024-03-14 14:56:35.860112
15,102,0.95962,2024-03-14,14:56:35.860112,2024-03-14 14:56:35.860112
16,57,0.70179,2024-03-14,14:56:35.860112,2024-03-14 14:56:35.860112
17,73,0.97533,2024-03-14,14:56:35.860112,2024-03-14 14:56:35.860112
18,87,0.3778,2024-03-14,14:56:35.860112,2024-03-14 14:56:35.860112
19,24,0.94102,2024-03-14,14:56:35.860112,2024-03-14 14:56:35.860112
20,805,0.92842,2024-03-14,14:56:35.860112,2024-03-14 14:56:35.860112
21,115,0.94974,2024-03-14,14:56:35.860112,2024-03-14 14:56:35.860112
22,14,0.96866,2024-03-14,14:56:35.860112,2024-03-14 14:56:35.860112
23,112,0.95875,2024-03-14,14:56:35.860112,2024-03-14 14:56:35.860112
25,210,0.91963,2024-03-14,14:56:35.860112,2024-03-14 14:56:35.860112
26,50,0.88794,2024-03-14,14:56:35.860112,2024-03-14 14:56:35.860112
27,90,0.90546,2024-03-14,14:56:35.860112,2024-03-14 14:56:35.860112
28,6137,0.64599,2024-03-14,14:56:35.860112,2024-03-14 14:56:35.860112
29,2260,0.91725,2024-03-14,14:56:35.860112,2024-03-14 14:56:35.860112
30,64,0.97197,2024-03-14,14:56:35.860112,2024-03-14 14:56:35.860112
31,135,0.56471,2024-03-14,14:56:35.860112,2024-03-14 14:56:35.860112
